#The value for each line is the fraction of spaxels with S/N>=3 for that line WITHIN THE DILATED MASK
#flag values: 0=skipped (continuum S/N too low), 1=Normal Run (continuum binned to S/N=10), 
#  2=Low Thresh Run (continuum binned to S/N=4). Use N_MASK*fraction to get pixel number for a line
######################################################################################################
MAGPIID     z        flag   N_MASK    OII_3727     OII_3730     NeIII_3870   NeIII_3969   H5           He           Hd           Hg           OIII_4364    HeII_4687    ArIV_4713    ArIV_4741    Hb           OIII_5008    NI_5199      NI_5202      HeI_5877     OI_6302      Ha           NII_6585     SII_6718     SII_6733     
1202300176   0.3733    2      115           0.513000     0.687000    0.0610000    0.0170000    0.0610000    0.0260000    0.0780000      0.00000   0.00900000    0.0350000    0.0350000    0.0520000     0.565000     0.617000    0.0170000   0.00900000    0.0700000      0.00000     0.852000    0.0870000     0.122000     0.113000
1202301169   0.6884    1      550           0.322000     0.329000    0.0380000    0.0290000    0.0530000    0.0580000    0.0840000     0.189000    0.0200000   0.00500000    0.0180000    0.0200000     0.340000     0.264000      0.00000   0.00200000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202314150   0.5634    1      646            0.00000      0.00000     0.108000    0.0460000    0.0910000    0.0770000     0.135000     0.221000    0.0330000    0.0340000    0.0200000    0.0360000     0.169000     0.344000   0.00800000   0.00900000    0.0200000      0.00000      0.00000      0.00000      0.00000      0.00000
1202314189   0.7251    1     1003           0.172000     0.191000    0.0600000    0.0190000    0.0630000    0.0460000    0.0570000    0.0810000      0.00000    0.0240000      0.00000    0.0230000     0.107000    0.0860000   0.00100000   0.00300000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202330214   0.9194    1      143           0.476000     0.580000     0.266000    0.0280000    0.0630000    0.0280000     0.112000     0.287000      0.00000      0.00000      0.00000      0.00000     0.112000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1202368315   0.7183    1      258            0.00000      0.00000    0.0350000    0.0350000      0.00000    0.0190000      0.00000    0.0430000      0.00000      0.00000    0.0390000      0.00000    0.0700000      0.00000    0.0270000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1203040085   0.3124    1     1065          0.0510000    0.0330000    0.0680000    0.0230000     0.105000    0.0330000    0.0650000    0.0620000    0.0610000    0.0450000    0.0470000    0.0460000    0.0430000    0.0460000    0.0540000    0.0470000    0.0140000    0.0170000    0.0100000    0.0270000    0.0270000    0.0150000
1203044142   0.3661    1      178           0.326000     0.348000    0.0960000    0.0220000    0.0390000    0.0560000     0.112000      0.00000      0.00000      0.00000    0.0560000      0.00000     0.326000     0.421000    0.0280000    0.0450000      0.00000    0.0170000     0.315000    0.0220000    0.0510000     0.112000
1203053204   0.3070    1      390          0.0560000      0.00000      0.00000      0.00000    0.0820000      0.00000    0.0540000      0.00000      0.00000    0.0410000    0.0490000      0.00000    0.0440000      0.00000      0.00000   0.00800000    0.0210000    0.0100000    0.0230000      0.00000    0.0130000    0.0210000
1203060081   0.2791    1      544          0.0570000    0.0440000    0.0610000    0.0280000    0.0900000    0.0280000    0.0770000    0.0570000    0.0570000    0.0310000    0.0500000    0.0920000    0.0330000    0.0720000    0.0200000   0.00900000    0.0150000    0.0200000    0.0660000    0.0720000    0.0180000   0.00900000
1203070184   0.3084    1     2323          0.0520000    0.0370000    0.0590000    0.0230000    0.0970000    0.0270000    0.0500000    0.0480000    0.0520000    0.0460000    0.0450000    0.0570000    0.0320000    0.0510000    0.0220000    0.0180000    0.0210000    0.0230000    0.0120000    0.0110000    0.0130000    0.0120000
1203076068   0.3062    1      986           0.302000     0.325000    0.0820000    0.0320000     0.112000    0.0790000     0.154000     0.191000    0.0350000    0.0430000    0.0260000    0.0300000     0.288000     0.309000    0.0260000    0.0210000    0.0910000     0.126000     0.407000     0.241000     0.135000     0.145000
1203081107   0.3059    1      128          0.0860000     0.141000    0.0860000    0.0390000    0.0620000    0.0620000    0.0620000    0.0700000    0.0620000    0.0470000    0.0310000      0.00000     0.125000    0.0550000      0.00000      0.00000    0.0390000      0.00000     0.219000    0.0620000    0.0230000    0.0160000
1203081168   0.3120    1      167          0.0360000    0.0360000    0.0660000    0.0420000     0.108000    0.0780000    0.0900000    0.0420000    0.0540000      0.00000      0.00000      0.00000    0.0720000    0.0360000    0.0120000   0.00600000      0.00000    0.0180000   0.00600000      0.00000   0.00600000      0.00000
1203087201   0.3088    1     1444          0.0390000    0.0350000    0.0620000    0.0210000    0.0800000    0.0240000    0.0490000    0.0570000    0.0460000    0.0420000    0.0430000    0.0460000    0.0270000    0.0290000    0.0150000    0.0120000    0.0280000    0.0170000    0.0150000   0.00900000   0.00600000    0.0200000
1203092088   0.8130    1      510          0.0980000    0.0960000    0.0570000      0.00000      0.00000    0.0200000    0.0180000    0.0100000      0.00000      0.00000      0.00000   0.00200000    0.0430000    0.0900000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1203094051   0.3107    1      637          0.0240000    0.0270000    0.0500000    0.0250000      0.00000    0.0190000    0.0470000      0.00000      0.00000    0.0300000    0.0270000    0.0390000      0.00000      0.00000   0.00900000    0.0130000    0.0170000    0.0130000      0.00000   0.00800000   0.00800000    0.0110000
1203103298   0.3076    1     1412          0.0410000    0.0380000    0.0580000    0.0340000    0.0640000    0.0220000    0.0470000    0.0290000    0.0320000    0.0290000    0.0330000    0.0440000    0.0260000    0.0260000    0.0110000    0.0160000    0.0210000    0.0180000   0.00900000   0.00700000   0.00400000    0.0120000
1203122346   0.1974    2      373            0.00000      0.00000      0.00000    0.0210000      0.00000    0.0160000    0.0400000    0.0640000    0.0510000    0.0560000    0.0350000    0.0290000      0.00000     0.177000   0.00500000    0.0210000    0.0510000    0.0430000     0.155000    0.0240000     0.107000    0.0510000
1203126354   1.0883    1      109          0.0280000      0.00000    0.0830000      0.00000      0.00000    0.0180000      0.00000    0.0370000    0.0730000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1203152196   0.2802    1      223           0.265000     0.314000     0.157000    0.0540000     0.117000    0.0580000     0.126000     0.220000    0.0720000      0.00000      0.00000      0.00000     0.305000     0.668000    0.0360000    0.0220000    0.0270000    0.0130000     0.238000      0.00000    0.0270000    0.0490000
1203153287   0.3069    1      327           0.159000     0.205000    0.0760000    0.0310000    0.0760000    0.0180000    0.0490000    0.0830000      0.00000      0.00000    0.0430000      0.00000     0.156000     0.208000   0.00900000   0.00300000    0.0310000    0.0280000     0.223000    0.0640000      0.00000    0.0550000
1203183064   0.8621    1      110           0.336000     0.536000     0.164000    0.0180000   0.00900000    0.0270000    0.0360000     0.182000    0.0270000   0.00900000      0.00000   0.00900000     0.155000     0.173000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1203191233   0.3537    1     1245           0.345000     0.394000    0.0690000    0.0320000     0.100000    0.0390000    0.0890000      0.00000      0.00000    0.0350000    0.0270000    0.0380000     0.299000     0.435000    0.0250000    0.0220000    0.0270000    0.0630000     0.234000    0.0500000    0.0600000     0.103000
1203195161   0.2788    1     2020           0.434000     0.476000    0.0840000    0.0330000     0.109000    0.0910000     0.197000     0.329000    0.0370000    0.0330000    0.0290000    0.0280000     0.464000     0.490000    0.0300000    0.0340000    0.0980000    0.0790000     0.518000     0.350000     0.319000     0.336000
1203195292   0.2789    1      121          0.0830000     0.107000    0.0660000    0.0410000    0.0580000      0.00000      0.00000    0.0580000    0.0500000    0.0500000    0.0250000      0.00000    0.0990000     0.140000    0.0170000      0.00000      0.00000   0.00800000     0.140000    0.0170000    0.0330000    0.0410000
1203196196   0.3094    1     5458          0.0470000    0.0380000    0.0670000    0.0230000     0.106000    0.0240000    0.0660000    0.0570000    0.0440000    0.0390000    0.0420000    0.0590000    0.0270000    0.0340000    0.0200000    0.0150000    0.0350000    0.0280000    0.0190000    0.0170000    0.0190000    0.0150000
1203198286   1.0885    1       72           0.167000     0.347000    0.0830000      0.00000    0.0280000      0.00000    0.0970000    0.0560000    0.0140000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1203204344   1.0912    1      136           0.132000     0.257000     0.147000   0.00700000    0.0440000    0.0290000    0.0440000    0.0740000    0.0150000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
